Temperature (°C),Humidity (%),Soil Moisture (%),Light Intensity,Pressure (hPa),Predicted Crop
31.6622862,96.07550056,91.58662606,0,960.5073648,Sorghum
40.65997133,99.97102587,83.37640945,0,1026.754232,Tobacco
36.49994213,74.68571003,9.348927461,1,1009.739425,Sugarcane
41.00601156,92.7376762,55.75413522,1,976.9892313,Tobacco
17.54204457,45.73024039,84.96357338,1,1044.960632,Pulses
44.63570377,37.47652351,31.73631837,0,1006.646427,Tomato
17.45109292,96.58523023,79.0688524,0,1043.077432,Pulses
30.591589,79.09897503,40.48843265,1,1019.982433,Potato
17.17049728,58.36323442,11.88919338,1,1012.425169,Chili
36.11849884,71.53152948,24.70146406,0,1006.834429,Sugarcane
37.49594435,57.02822459,14.18512009,0,1031.716928,Rice
23.33329573,82.17699767,87.5573997,0,989.5195951,Maize
22.51505895,65.51729778,44.92154666,1,957.5788134,Brinjal
34.85867753,53.50485899,15.36311417,1,1034.726867,Cauliflower
27.6464615,78.73259074,8.146409411,1,1011.498499,Peas
41.44796273,59.26704121,78.06928398,1,1004.345205,Millets
44.33103953,55.79255327,59.32526934,0,1012.513968,Onion
44.04234968,74.38220414,61.33489617,0,1024.786678,Tomato
20.61785005,35.58032541,9.280494212,0,1032.801053,Chili
36.45573903,39.56979609,52.91739099,0,990.1758597,Onion
21.45788489,82.74648271,34.95131963,0,983.577939,Sorghum
30.46253754,65.22817107,75.08226251,0,963.492476,Tobacco
43.70354939,77.06669729,75.19917169,1,992.302771,Millets
22.63362592,47.05207096,18.97661556,1,1026.712648,Peas
27.78240941,98.66376019,36.68166825,0,974.5767265,Onion
28.55355658,98.80998042,56.05467166,0,1043.032653,Cotton
34.49566739,51.26207085,55.6748093,0,1033.723437,Tomato
38.69990954,99.6243514,91.85264569,0,1044.716563,Cabbage
26.82479734,92.38288425,69.96019582,0,962.3636915,Maize
32.62208902,56.13962285,20.9722249,1,1035.064242,Tobacco
36.30855673,41.33640039,10.80586916,0,972.2129062,Wheat
42.10185465,35.24014134,92.13700576,1,961.6631787,Chili
25.89000143,56.59585973,32.47595377,0,1030.043241,Tomato
29.31491034,34.29554375,91.21811353,0,967.6283058,Cotton
33.54099672,84.1176059,80.41364149,1,1005.024432,Barley
32.99427508,54.35790231,86.98577603,1,1010.98474,Barley
30.19937453,73.35254143,48.14064502,1,986.9860898,Peas
32.9416198,55.73541507,54.86683856,1,1047.917223,Barley
40.31463286,41.77564823,92.65000768,1,1045.439012,Chili
35.19009411,80.84644564,83.20411722,0,1028.435651,Onion
16.3879983,60.941251,73.12058666,1,954.6568414,Cotton
43.10531298,35.21901802,8.880417894,0,990.1693492,Sugarcane
42.6428709,91.44813708,8.158574231,1,1019.422345,Sugarcane
22.60397106,73.69585646,8.980612185,0,971.8684495,Cabbage
19.19508929,96.05079343,55.07344761,0,957.6824728,Pulses
28.94744868,61.53041706,33.08359689,1,967.2577537,Groundnut
33.2963102,37.80684334,57.7213401,0,994.5129043,Sorghum
31.51459359,62.89517672,1.790056079,1,965.1382646,Tobacco
23.80374632,75.44720819,73.37569493,1,999.3172029,Maize
23.78625844,56.2883045,79.3708664,0,1012.502868,Maize
27.03032257,83.07604638,60.14306489,0,993.4233106,Maize
42.55991914,64.71549852,68.78245661,1,1027.534059,Potato
24.92398948,97.59558975,41.49615215,1,1017.884992,Cauliflower
27.97086897,46.5665658,42.06178693,0,977.7266134,Sorghum
43.47544733,88.27070923,37.7346716,1,964.9257363,Sorghum
44.91464375,36.57625821,15.93163278,0,1009.582334,Rice
18.72711235,46.60627232,94.93030906,0,1037.124586,Pulses
32.770597,61.04674237,36.360175,1,1005.933893,Groundnut
42.22744962,85.79387923,74.21813578,0,970.5307587,Tomato
24.4156332,36.55006002,33.89265453,0,961.8117067,Groundnut
28.97412057,35.31131665,25.81121279,0,1002.696864,Mustard
31.69917026,99.839151,89.21017659,1,961.9483007,Brinjal
20.57178505,90.14717457,49.32311998,0,994.6916546,Sorghum
19.38167909,60.61630536,71.05184731,0,997.702401,Pulses
18.33617358,95.19285354,76.95108959,0,975.5652412,Maize
21.08806232,67.4120389,29.55469165,0,1022.931242,Potato
33.04757754,98.4596436,43.25098083,0,1004.912744,Peas
31.91467929,47.22536413,3.481412549,1,1020.996651,Cauliflower
21.47657071,52.61401654,69.03517585,1,1038.348126,Cotton
23.33704631,85.10366845,19.22629585,1,1003.582305,Sorghum
43.06321965,49.7234214,71.89387306,1,1044.216978,Tomato
44.70877074,52.136652,67.43627772,1,989.0748784,Tobacco
41.63138089,91.94836415,90.67786907,0,984.3686619,Onion
21.23072596,72.48231833,13.99708101,0,998.3033244,Millets
